time,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,,,,
26.207285,-16.53251768,-1.276293114,-56.2652645,-1.305761621,-0.037809443,12.23153782,165.8807831,-35.1135931,-2.20195473,,,,
26.215618,-15.07302833,-1.523010358,-56.20855715,-1.794247553,0.583662995,10.07524097,174.4023667,-30.85363531,-2.309250534,,,,
26.223951,-13.55318785,-1.768900657,-56.16053008,-0.920698904,0.183230829,11.47542524,181.6387863,-30.59787417,-2.474610358,,,,
26.232284,-12.0017947,-2.022202671,-56.12032508,-0.870562732,-0.846611843,11.59153676,185.4019012,-31.34632301,-2.738908991,,,,
26.240617,-10.40819728,-2.263813317,-56.0920925,-1.308184862,-0.378695973,13.30845928,190.4647751,-29.63204718,-3.202183962,,,,
26.24895,-8.78311217,-2.474242866,-56.0759487,-1.501306318,-0.279701591,12.79824638,194.1656266,-25.85084391,-3.078851044,,,,
26.257283,-7.152639031,-2.724159986,-56.07008743,-0.310984653,-2.165220276,8.079901338,194.8078728,-30.3624506,-3.904573649,,,,
26.265616,-5.478968249,-2.923997134,-56.06846048,-1.393094733,-0.36242741,14.11488485,199.9434738,-24.44279099,-3.406249493,,,,
26.273949,-3.861101873,-3.135793179,-56.08882523,-0.132521846,-2.353895039,11.33287376,193.1258507,-25.6628418,-5.241555154,,,,
26.282282,-2.231471121,-3.364041656,-56.0985298,-1.837454971,-2.249193117,12.17926079,194.5773964,-27.87634516,-3.685411364,,,,
26.290615,-0.591328264,-3.554269374,-56.13012695,0.094934382,-1.460888922,12.62264609,195.6356278,-23.28141904,-5.430929542,,,,
26.298948,0.995996445,-3.78253454,-56.16567993,-1.450329319,-2.425316468,12.09013808,189.3411675,-28.06212712,-5.086042941,,,,
26.307281,2.539797925,-3.96157229,-56.2178459,-0.926593348,-3.440902472,9.933567821,183.9734192,-22.24830866,-6.706733227,,,,
26.315614,4.043215454,-4.169292689,-56.26734925,-0.55068619,-1.521894991,14.52713656,179.0652313,-25.88000488,-5.454852879,,,,
26.323947,5.506966993,-4.35211432,-56.3387146,-1.358817399,-3.304938912,8.65523708,174.1530914,-23.20268845,-7.440536023,,,,
26.33228,6.924949408,-4.529422999,-56.39492608,-0.021965921,-4.087243259,14.31672692,168.7092819,-22.50811959,-5.674523354,,,,
26.340613,8.27544129,-4.725978792,-56.49020768,-2.064945191,-2.10929212,10.28856111,160.2241249,-25.50987196,-8.956561564,,,,
26.348946,9.526910902,-4.85746187,-56.54627038,0.102650374,-3.802820444,12.19490778,148.7626591,-17.17543435,-5.548284114,,,,
26.357279,10.7259649,-5.018988729,-56.63772775,-2.765343666,-3.365178764,12.13177658,142.114893,-21.56549573,-8.234814287,,,,
26.365612,11.81679082,-5.138738632,-56.6970444,0.149650455,-4.104502797,9.983701586,129.411377,-15.79945159,-4.763980895,,,,
26.373945,12.82747364,-5.256551266,-56.77620698,-2.070462823,-3.521196962,12.40989304,119.6315842,-16.34045124,-7.052197933,,,,
26.382278,13.75115848,-5.337821245,-56.8195362,-0.584130019,-4.115147471,9.233994483,109.522089,-10.95276941,-3.620737039,,,,
26.390611,14.58118892,-5.407700777,-56.88112643,-2.244833887,-3.163940013,12.71611118,98.09494591,-10.47584075,-5.903497547,,,,
26.398944,15.30973411,-5.45503819,-56.91376688,0.220733583,-3.676107705,10.37103647,86.26601602,-6.797102534,-2.871191248,,,,
26.407277,15.95578146,-5.439290285,-56.93824005,-2.887993904,-3.204981387,10.55089295,76.48517609,0.434088947,-4.371350527,,,,
26.41561,16.53323627,-5.445615411,-56.96081923,-0.270196855,-3.337225676,9.703983305,68.18394375,-1.817341508,-2.927011311,,,,
26.423943,17.00984454,-5.384102106,-56.95570758,-1.540569693,-2.789786369,9.830814955,56.49557591,6.656791686,-2.351376597,,,,
26.432276,17.42448568,-5.30517149,-56.95850183,-1.134057433,-3.377952874,9.499905228,48.88529682,8.580455958,-3.700367034,,,,
26.440609,17.80687762,-5.22747922,-56.93693733,-1.11691612,-1.541144945,10.72216845,45.3125906,9.099496573,-1.281577058,,,,
26.448942,18.10432434,-5.065812111,-56.91549875,-1.478391022,-3.061591983,9.641666892,35.14146853,18.8623538,-3.95495522,,,,
26.457275,18.36172152,-4.941413284,-56.87591743,-1.061764568,-2.530858211,12.38699961,30.52353335,15.11370406,-0.912453048,,,,
26.465608,18.56960297,-4.741076946,-56.83680153,-1.258016587,-1.33807987,9.925623297,24.57206798,23.86504221,-3.601584062,,,,
26.473941,18.74954271,-4.578014553,-56.78172875,-1.529521078,-3.362030387,9.136009456,21.32893062,20.11955118,-0.602325533,,,,
26.482274,18.88949442,-4.361915171,-56.73683168,0.977876693,-0.936581995,10.50344861,16.50083995,25.84281397,-3.589178965,,,,
26.490607,18.99150419,-4.144014537,-56.66612628,-2.152042538,-0.950333373,8.697165608,12.0525223,26.93630457,-1.105690915,,,,
26.49894,19.14204407,-3.999587655,-56.64769173,1.738906652,-1.249740452,10.28281987,17.51208139,16.66567135,-3.926091507,,,,
26.507273,19.24028254,-3.784543037,-56.57395553,-1.215559781,-0.661278762,8.196446537,11.63919711,26.73945427,-0.674439408,,,,
26.515606,19.32727051,-3.570061743,-56.53847505,-0.803592771,-1.73976022,11.01867485,9.983715296,25.24614096,-4.87850681,,,,
26.523939,19.44182015,-3.43501693,-56.49669078,0.414154917,-0.589686291,9.651591541,13.28657341,16.425668,-1.17115669,,,,
26.532272,19.52923441,-3.209778488,-56.4602623,-0.333684675,-0.700709161,7.512252688,10.05818248,26.48493147,-5.222621292,,,,
26.540605,19.64687634,-3.078894466,-56.41646003,-0.839192793,-0.386693325,11.31678879,13.61653233,16.03671932,-0.82298547,,,,
26.548938,19.75239038,-2.896097928,-56.39977455,0.025701701,-0.727867656,8.33643228,12.10009146,20.87669206,-5.868880689,,,,
26.557271,19.8729682,-2.750648975,-56.35525705,0.109100521,-1.044987612,9.351664783,13.9756043,17.72736335,-1.299718201,,,,
26.565604,20.04003048,-2.654215306,-56.36353113,-0.344224632,0.39511092,10.36669206,19.32427669,10.07514977,-5.253946602,,,,
26.573937,20.19034434,-2.548532069,-56.33169935,0.646531001,-1.534818247,9.900822997,17.45357132,12.70909289,-1.179129601,,,,
26.58227,20.40188647,-2.458123952,-56.35175895,-1.174138993,0.14240972,10.842556,24.62099314,8.860202858,-6.363345803,,,,
26.590603,20.60490799,-2.415596664,-56.33652878,1.60439837,-0.331963196,11.07039618,23.67953896,4.908525365,-0.487775334,,,,
26.598936,20.82053566,-2.387986273,-56.38261608,0.396277337,-0.115101814,8.81702304,24.98180485,0.659853607,-6.68351385,,,,
26.607269,21.05334711,-2.374462336,-56.3851223,-0.860456489,-0.810175955,11.16082573,27.1682868,0.929249107,-1.222827554,,,,
26.615602,21.28798676,-2.403216422,-56.44245718,1.195250392,-0.338856891,6.421791002,27.22215987,-6.218586133,-5.487886666,,,,
26.623935,21.54978323,-2.401536674,-56.4711876,-1.294785798,-1.453915209,13.18072605,30.52003622,-1.535728513,-3.645791351,,,,
26.632268,21.81146336,-2.505551905,-56.54534913,1.445219085,-0.441314574,8.748808623,30.32982779,-15.42275035,-3.990344287,,,,
26.640601,22.11051464,-2.536264718,-56.6141205,-0.844953537,-0.628740296,12.90807867,34.81258297,-6.978505612,-6.662379026,,,,
26.648934,22.37730265,-2.6391159,-56.67829323,-0.34981627,-0.903836958,8.197471529,30.93706465,-14.86815637,-2.866644399,,,,
26.657267,22.62498713,-2.711347014,-56.7735119,0.739968017,-0.91078262,12.92498171,28.51263809,-12.83570906,-7.641156308,,,,
