time(millisecond),latitude,longitude,altitude_above_seaLevel(meters),North,East,Down, xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), roll(degrees), pitch(degrees), compass_heading(degrees)
60300,32.8256571210866,34.9558987699909,10.3942341,-2.866890822957849,-5.692597875348672,-0.1999964226213713,-0.9,-2.4,0.1,1.7,-8.3,252.8
60400,32.8256561938701,34.9558959147335,10.3942341,-2.969720393105425,-5.95995491075073,-0.19999611431418973,-0.9,-2.4,0.1,2.4,-8.1,252.7
60500,32.8256554200628,34.9558933257508,10.4942341,-3.0555367075996367,-6.202378950964201,-0.2999958259794413,-0.9,-2.5,0.2,1.2,-9.1,252.5
60600,32.8256546770755,34.9558905413578,10.4942341,-3.137934969082042,-6.463100475516092,-0.29999551072683683,-0.8,-2.5,0.1,1.0,-9.6,252.5
60700,32.8256539909469,34.9558878818521,10.4942341,-3.2140275142298105,-6.712127961173712,-0.29999519955121734,-0.8,-2.6,0.1,0.4,-7.8,252.6
60800,32.8256532910286,34.9558850859594,10.4942341,-3.291649341548778,-6.973926284829084,-0.2999948609929577,-0.8,-2.6,0.2,-1.3,-8.6,252.5
60900,32.8256526343293,34.95588244745,10.4942341,-3.364478120989186,-7.2209877508070095,-0.2999945328018301,-0.8,-2.6,0.1,-1.7,-8.1,252.5
61000,32.8256519493992,34.9558796791803,10.4942341,-3.4404377228110206,-7.480199553662648,-0.29999417605532397,-0.8,-2.6,0.1,-2.1,-7.4,252.5
61100,32.8256512729566,34.9558769761832,10.4942341,-3.515456047079165,-7.733299446603588,-0.2999938184994866,-0.8,-2.6,0.1,-3.0,-8.7,252.6
61200,32.8256505227292,34.9558740563004,10.5942341,-3.5986572536735397,-8.006707951527963,-0.39999341676579103,-0.8,-2.7,0.1,-3.4,-8.8,252.6
61300,32.8256498479313,34.9558712161212,10.5942341,-3.673493152970137,-8.272653140221141,-0.39999301737057635,-0.8,-2.7,0.1,-3.0,-8.2,252.6
61400,32.8256491531394,34.9558681945752,10.5942341,-3.7505463963049586,-8.555580932700073,-0.39999257996676096,-0.8,-2.7,0.2,-1.7,-8.5,252.7
61500,32.8256484940527,34.9558653185711,10.5942341,-3.8236398828773535,-8.824880655445753,-0.39999215346969663,-0.8,-2.7,0.1,-1.6,-7.9,252.6
61600,32.8256477650472,34.9558623092079,10.5942341,-3.9044874524428193,-9.10666770135001,-0.3999916898200384,-0.8,-2.7,0.1,-2.9,-7.7,252.6
61700,32.8256471618422,34.9558592498797,10.5942341,-3.971383539281802,-9.393133298986175,-0.39999121510389557,-0.9,-2.8,0.2,-2.9,-8.1,252.8
61800,32.8256463680149,34.9558561821917,10.5942341,-4.0594199262238035,-9.680381706132799,-0.3999907118933308,-0.9,-2.8,0.1,-1.1,-8.4,252.8
61900,32.8256456497115,34.9558532440805,10.5942341,-4.139080599110805,-9.955496959691912,-0.39999022020522457,-0.8,-2.8,0.1,-0.4,-7.4,252.8
62000,32.8256449272002,34.9558501329827,10.5942341,-4.219207908917346,-10.2468101212947,-0.39998968753668684,-0.8,-2.9,0.1,-1.4,-7.0,252.8
62100,32.8256441807736,34.9558470281446,10.5942341,-4.301987454877421,-10.537537151046159,-0.3999891402347009,-0.8,-2.9,0.1,-2.3,-7.2,253.1
62200,32.8256434445801,34.9558437981644,10.5942341,-4.383632113738656,-10.839982084573629,-0.3999885584676992,-0.8,-2.9,0.1,-1.9,-6.8,252.9
62300,32.8256427666393,34.9558406946006,10.5942341,-4.458816461867231,-11.13058979497805,-0.3999879875026364,-0.8,-2.9,0.1,-3.3,-6.2,251.9
62400,32.8256420695839,34.9558374074068,10.5942341,-4.536120618957092,-11.438392028719457,-0.39998736909414223,-0.8,-2.9,0.1,-4.0,-5.7,250.1
62500,32.8256414041854,34.9558342879798,10.5942341,-4.609913986619946,-11.730485124713667,-0.3999867668251227,-0.9,-2.9,0.1,-3.5,-5.6,247.9
62600,32.8256405794729,34.9558311245313,10.5942341,-4.701375509615953,-12.026700276792505,-0.3999861293757503,-0.9,-2.9,0.1,-4.2,-6.0,246.0
