time(millisecond),latitude,longitude,altitude_above_seaLevel(meters),North,East,Down, xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), roll(degrees), pitch(degrees), compass_heading(degrees)
209000,32.8253548902542,34.9549618634818,12.4942341,-31.782524981931903,-79.85969219021442,0.0007769493549254491,-2.5,-6.3,0.0,-4.7,-18.4,248.6
209100,32.8253526584,34.9549550079603,12.4942341,-32.03003501571267,-80.50162556042417,0.0007878399107550393,-2.5,-6.3,0.0,-5.0,-18.8,248.6
209200,32.82535051456,34.9549484963731,12.4942341,-32.26778440504842,-81.11135386459871,0.0007982676048552406,-2.5,-6.3,0.0,-5.0,-18.9,248.6
209300,32.8253482351032,34.9549416471317,12.4942341,-32.520573567027185,-81.75269929859081,0.0008093253062817496,-2.5,-6.3,-0.1,-4.4,-18.8,248.7
209400,32.8253460827692,34.9549351717567,12.4942341,-32.759264910443285,-82.35903686694958,0.0008198459552071213,-2.5,-6.3,0.0,-4.4,-18.7,248.6
209500,32.8253438964594,34.9549287805505,12.4942341,-33.00172426340969,-82.95749317957407,0.0008303358035357533,-2.5,-6.3,0.0,-5.2,-19.2,248.7
209600,32.825341704678,34.9549222613783,12.4942341,-33.244790270384904,-83.56793189201659,0.0008410777521428159,-2.5,-6.3,0.0,-5.0,-18.7,248.6
209700,32.8253393388485,34.9549152555437,12.4942341,-33.507157995946336,-84.22394047954646,0.0008527028862177488,-2.5,-6.3,0.0,-4.6,-19.3,248.6
209800,32.8253370968329,34.9549086139514,12.4942341,-33.75579486247277,-84.84584237262146,0.000863796698276964,-2.5,-6.3,0.0,-4.5,-19.4,248.6
209900,32.8253346068508,34.9549012935438,12.4942341,-34.03193092568678,-85.53130687078537,0.0008761179011305131,-2.5,-6.3,0.0,-4.0,-19.5,248.7
