SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
505048235,-5.37436533,7.117506504,-177.008255,-0.824940979,-2.724210739,10.09270763,-0.670990467,-5.431498528,-1.178177953,0.033935547,-0.536621094,-0.548828125, 
505056568,-5.399383068,6.913131714,-177.0078278,-0.390238285,0.330622166,16.41338921,-4.803491592,-24.77041435,-2.445648432,0.036865234,-0.533447266,-0.546142578, 
505064901,-5.425872326,6.903400421,-177.022049,-3.194784164,0.192402959,7.300887585,-4.763325691,-1.340546727,-1.992326498,0.032470703,-0.534179688,-0.545410156, 
505073234,-5.471597672,6.756736755,-177.0154419,-2.763427973,-1.361189723,10.78575802,-7.378694534,-17.94321251,-1.081971288,0.032470703,-0.532714844,-0.551757813, 
505081567,-5.502234936,6.698310375,-177.021286,0.331708848,-1.694361687,8.995197296,-5.384369373,-7.249623299,-1.56008637,0.031494141,-0.53125,-0.542480469, 
505089900,-5.5375247,6.539031982,-177.0159912,-2.027410746,-0.276940465,13.39417362,-6.104207039,-19.43357658,-1.404352069,0.029052734,-0.533691406,-0.543945313, 
505098233,-5.593970776,6.502840519,-177.0187378,-0.415938199,-0.309248239,10.49382973,-8.526106834,-4.628927708,-0.940785229,0.030517578,-0.529785156,-0.548828125, 
505106566,-5.633278847,6.444529057,-177.0422516,-4.593480587,0.163125753,8.530099869,-6.193598747,-7.035845757,-3.67049408,0.024902344,-0.531738281,-0.543457031, 
505114899,-5.684917927,6.402515888,-177.0288849,-0.877462804,-1.198306322,12.72898579,-8.165945053,-5.512310505,0.894052029,0.026367188,-0.529296875,-0.547363281, 
505123232,-5.702178478,6.329043388,-177.0562134,-1.108697534,-1.076886296,6.201339722,-3.503310442,-8.798388481,-4.314334393,0.028076172,-0.529785156,-0.54296875, 
505131565,-5.71222353,6.268671989,-177.0513763,-2.550387144,0.516923308,12.82152748,-3.059927464,-7.602637768,-0.33967036,0.028808594,-0.53125,-0.55078125, 
505139898,-5.756300926,6.280220509,-177.0728149,-1.022388577,-0.747513115,12.53342247,-6.802628994,1.286334157,-2.604353189,0.024902344,-0.529296875,-0.545410156, 
505148231,-5.808791637,6.294363499,-177.0772095,-4.090688229,-0.803411782,10.11793041,-8.032214165,1.403928995,-0.544046342,0.024414063,-0.528808594,-0.544433594, 
505156564,-5.878827572,6.318068981,-177.0921783,-0.343299747,-0.528603435,8.761852264,-10.00330639,2.662715435,-1.683675051,0.021484375,-0.53125,-0.542480469, 
505164897,-5.905089855,6.314629555,-177.1134338,-1.526304603,-0.740998447,6.316280842,-4.661688328,-0.488540292,-2.758550406,0.026855469,-0.528320313,-0.543945313, 
505173230,-5.904108047,6.325031757,-177.1131744,-2.771248817,0.406760782,14.98473263,-1.682547808,0.891080797,-0.037601694,0.029785156,-0.52734375,-0.545410156, 
505181563,-5.920681,6.405537605,-177.1408081,-1.540857553,0.514023125,13.03780174,-3.411816359,9.612165451,-2.476845503,0.025390625,-0.525390625,-0.546386719, 
505189896,-5.916549683,6.490224838,-177.1525421,-2.392754316,0.239931747,6.524137497,-1.141882658,9.904603004,-0.541203201,0.026855469,-0.525390625,-0.551269531, 
505198229,-5.915847301,6.550453186,-177.151474,-0.667950213,-0.805594683,9.58819294,-1.719457865,6.83750248,0.678662002,0.029541016,-0.53515625,-0.544433594, 
505206562,-5.888251305,6.607748032,-177.1649933,0.071719699,-2.116102219,7.583726883,1.700285673,6.655692101,-1.093574166,0.029785156,-0.526367188,-0.546386719, 
505214895,-5.827589989,6.665414333,-177.1705933,-3.60133338,1.405466437,13.18175316,5.566959381,6.615222454,-0.151380137,0.031982422,-0.533203125,-0.553222656, 
505223228,-5.775798798,6.764860153,-177.1660767,0.169723168,0.024284374,12.98099136,4.354688644,11.47052765,1.544884086,0.030517578,-0.526855469,-0.542480469, 
505231561,-5.736765862,6.77379179,-177.1714478,-1.835734129,-1.075781822,9.32082653,2.969240427,0.793029547,-0.724293709,0.032470703,-0.530273438,-0.553710938, 
505239894,-5.704087734,6.799823284,-177.1614075,-0.838600695,-0.607473671,8.959035873,1.983476877,2.640815258,1.304930091,0.031982422,-0.528808594,-0.544921875, 
505248227,-5.614483356,6.809383392,-177.1728973,-1.279800415,-1.160137415,7.543829918,9.127005577,0.94010663,-1.443157554,0.033935547,-0.536621094,-0.547363281, 
505256560,-5.537808418,6.837445736,-177.1696167,-2.114899397,0.125980645,17.18207169,7.357728481,2.965603828,0.519879401,0.034423828,-0.529785156,-0.547363281, 
505264893,-5.500175476,6.858016014,-177.1730804,-0.469602138,-0.843957245,9.414023399,2.775315046,2.159343958,-0.367103189,0.034423828,-0.533691406,-0.547851563, 
505273226,-5.452792168,6.798686028,-177.1842804,-0.040578444,-1.473074555,9.046293259,4.049546719,-7.307714939,-2.203772068,0.032958984,-0.530273438,-0.546386719, 
505281559,-5.369532585,6.814275742,-177.186203,-3.89390707,-0.506888986,8.9174366,8.229225159,1.546830773,-0.246639475,0.034912109,-0.537841797,-0.544677734, 
505289892,-5.295633316,6.772624969,-177.1853485,-0.988184988,0.438872159,17.0050869,7.0594244,-5.334497929,-0.560004056,0.036376953,-0.533935547,-0.544189453, 
505298225,-5.252633095,6.818674088,-177.1958313,-2.832909107,-1.312013626,10.55538177,3.51910162,5.280694962,-0.930488288,0.030517578,-0.540527344,-0.542480469, 
505306558,-5.235409737,6.780207157,-177.1863251,0.650176466,-1.40873301,8.222920418,0.135512114,-5.048335552,0.508916438,0.036865234,-0.535400391,-0.545654297, 
505314891,-5.213799953,6.8019557,-177.2069397,-3.346367836,-0.619774699,8.883934021,1.094739795,2.485746622,-2.40294838,0.032470703,-0.538330078,-0.540283203, 
505323224,-5.179858208,6.843375206,-177.18573,-2.737522125,-1.70080924,8.649201393,1.974690914,4.372721195,2.770294666,0.036376953,-0.537353516,-0.550292969, 
