SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
468083047,-2.736526012,6.618672371,-139.5654144,-2.100571394,-0.731306434,13.68252087,9.540943146,-1.429363966,-0.428795099, 
468091380,-2.65055275,6.5704813,-139.5581055,0.077620231,-0.6597054,6.248131752,8.697698593,-5.886984348,0.190697998, 
468099713,-2.570030689,6.492199898,-139.5569153,-2.058102131,-0.269342005,10.53940964,8.126578331,-9.446722984,-0.746514142, 
468108046,-2.512507439,6.434587002,-139.5614471,-0.688112497,-0.938206375,8.345316887,5.446560383,-6.952305794,-1.251063466, 
468116379,-2.449039221,6.345882893,-139.5666809,-1.723464251,-0.584506452,11.19970989,6.165602684,-10.66352749,-1.542681456, 
468124712,-2.394903421,6.334230423,-139.5747528,-0.625684381,-0.035995554,5.870011806,5.087909222,-1.426136494,-1.439558387, 
468133045,-2.341649294,6.212025642,-139.5907288,-0.974140823,-0.603304923,10.46006107,5.080379486,-14.6290226,-2.967422485, 
468141378,-2.285225868,6.207274914,-139.6074829,-2.104030848,-0.663081527,11.22632122,5.471866608,-0.55735302,-2.432545662, 
468149711,-2.244305611,6.125946522,-139.6289978,-1.347958803,-0.36293605,5.064274311,3.668010235,-9.706682205,-3.409523964, 
468158044,-2.198747873,6.168813229,-139.6628723,-2.767995119,-0.031354316,11.8694458,4.38459444,5.226867199,-4.244906902, 
468166377,-2.130453587,6.123776913,-139.6813507,0.165892154,-0.37361151,8.280783653,6.91330862,-5.373701096,-2.86493969, 
468174710,-2.068121433,6.165678978,-139.6915894,-3.223195076,-0.648526073,10.93426418,6.093679428,5.001410484,-1.445347428, 
468183043,-2.029005766,6.150773048,-139.7043304,-0.26559037,-0.748448551,2.050731897,3.33878994,-1.78998673,-2.041902781, 
468191376,-1.980701923,6.232207298,-139.7188721,-3.768939972,0.044715639,15.88701153,4.469351768,9.756669044,-1.823003769, 
468199709,-1.911862016,6.283492088,-139.715683,0.719683647,-0.967525125,9.864016533,6.699121952,6.081486225,0.130222768, 
468208042,-1.863217831,6.361436367,-139.7159729,-2.52384901,-0.914710581,6.58453083,4.329753876,9.280269623,-0.175060526, 
468216375,-1.859942317,6.424503326,-139.7266846,-0.752415895,-0.690384448,6.613636494,-0.983932614,7.548797607,-1.490069866, 
468224708,-1.816052318,6.518607616,-139.7333832,-2.601540565,0.025627282,12.69291878,3.850050926,11.24288273,-0.915977895, 
468233041,-1.77600801,6.649384975,-139.7474518,0.21922569,-1.20993793,8.601082802,3.478746891,15.68280411,-1.642705083, 
468241374,-1.746655345,6.665035248,-139.7621765,-0.632381141,-0.242502779,5.946354389,2.217347383,1.860925436,-2.155271292, 
468249707,-1.732737541,6.840018272,-139.8018494,-2.333439827,-1.082608938,11.59567928,0.710615933,21.07698631,-4.546309948, 
468258040,-1.713279724,6.857738495,-139.813446,0.462446749,-0.630976021,7.661503792,0.995446086,2.097293854,-1.815934062, 
468266373,-1.713288426,6.998599529,-139.8451843,-2.521860361,-0.498853087,10.68089676,-1.061492682,16.95355606,-3.732776165, 
468274706,-1.725392461,7.027477264,-139.850647,0.586755574,-0.897535443,9.224098206,-2.877746582,3.413455486,-1.047711968, 
468283039,-1.683392048,7.115218163,-139.8598633,-2.504536152,-0.108171992,12.44386292,3.657124043,10.50073719,-1.240740895, 
468291372,-1.685568213,7.181650162,-139.8542938,0.521147788,-1.533459544,4.819804192,-1.850590229,7.880169392,0.415770322, 
468299705,-1.711831808,7.13117981,-139.8587341,-0.996897638,-0.135544643,7.827354431,-4.605119228,-6.094561577,-1.165844798, 
468308038,-1.715222001,7.254579544,-139.8732605,-1.567574024,-0.679319263,16.36260796,-1.69296062,14.78520679,-1.781150341, 
468316371,-1.717641234,7.18938303,-139.8728333,1.228774428,-1.151394367,5.445946693,-1.8159343,-7.877954006,-0.641495883, 
468324704,-1.749710679,7.203471661,-139.8758698,-2.647938728,-1.014146209,8.87339592,-5.309895039,1.633291841,-0.77128309, 
468333037,-1.808819652,7.215779781,-139.8923187,-0.898624778,-0.651501,7.708078384,-8.36623764,1.480630875,-2.371045828, 
468341370,-1.841526985,7.166966438,-139.8943787,0.153682515,-0.436071098,12.95855999,-5.404207706,-5.917926311,-0.86211127, 
468349703,-1.88681221,7.157782078,-139.9087219,-2.530542135,-1.335937023,10.7292099,-6.740296841,-1.101809263,-2.201658964, 
468358036,-1.941587567,7.123485088,-139.9064941,0.601773143,-0.080661744,3.325123787,-8.117933273,-4.192423344,-0.285406679, 
468366369,-2.005226851,7.079791069,-139.9178314,-1.689962626,-0.625325501,11.79717445,-8.987870216,-5.249472141,-1.988394856, 
468374702,-2.085872889,7.013035297,-139.91362,0.390544444,-2.210371256,7.360580921,-11.25032616,-8.093781471,-0.210305735, 
468383035,-2.15464139,6.972085476,-139.9123535,-3.133659601,0.53741616,11.8730917,-9.791644096,-4.971864223,-0.488117725, 
468391368,-2.23555541,6.976204395,-139.9177704,0.138409615,-0.71847868,6.241546154,-11.14100266,0.448761404,-1.037235856, 
468399701,-2.299541473,6.843384743,-139.9156952,-1.490836024,-0.724616885,12.78325748,-9.229463577,-15.9932127,-0.843694746, 
468408034,-2.346994638,6.895025253,-139.9218445,-2.16004777,-0.389477611,11.52499485,-7.11616087,6.153666973,-0.896434367, 
468416367,-2.420687437,6.805879116,-139.9240417,0.383925587,-0.053503636,1.278972626,-10.33159447,-10.73378944,-1.164922833, 
468424700,-2.494565964,6.784394264,-139.935791,-2.367475033,-1.029386282,14.09892368,-10.21023178,-2.586333752,-1.909375191, 
468433033,-2.53333807,6.74125433,-139.9371338,-0.490799189,-0.238174364,10.6211977,-6.154934883,-5.221090794,-0.843259096, 
468441366,-2.548978329,6.768926144,-139.9326935,-2.304814577,-0.11259646,9.270325661,-3.449866295,3.224524975,0.261982411, 
468449699,-2.60942173,6.726154804,-139.9254456,0.794654906,-1.353569388,1.412580609,-8.874142647,-5.222602367,0.173408389, 
468458032,-2.64338398,6.685576439,-139.9111176,-2.552764177,0.139261201,16.42506599,-5.786883354,-5.012821674,1.067678213, 
468466365,-2.661278963,6.737299442,-139.903717,-0.982310057,-0.772173822,11.90541172,-3.769942284,6.104333878,0.708797157, 
