time,distance(meters),speed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),height_above_takeoff(meters),North,East,Down
3.0999999999999943,5.75445,2.65807,249.1,-16.4,-2.0,10.0,-2.5335258053599126,-4.470865166503309,-1.2999979307299754
3.200000000000017,6.01127,2.71848,249.1,-14.4,-1.1,9.8,-2.6429707046349113,-4.7057277075887205,-1.0999977169197503
3.3000000000000114,6.29354,2.87958,249.6,-12.4,-0.7,9.8,-2.7618254923258894,-4.964532624567733,-1.0999974695910049
3.4000000000000057,6.55934,3.11083,250.4,-10.8,-1.0,9.8,-2.866121988819326,-5.212716010335949,-1.0999972262157378
3.5,6.83436,3.38538,251.1,-10.4,-1.6,9.9,-2.9284372722977086,-5.496519519290208,-1.1999969601605263
3.5999999999999943,7.10138,3.74526,251.5,-11.1,-2.1,10.1,-3.0203102038473673,-5.752537149206221,-1.399996690859337
3.700000000000017,7.39972,4.06038,251.8,-10.7,-2.8,10.3,-3.1381316875031504,-6.029393116146704,-1.59999637818071
3.8000000000000114,7.68034,4.41429,252.1,-10.2,-3.5,10.6,-3.251403626547882,-6.2882241523982785,-1.8999960726392566
3.9000000000000057,7.96559,4.74743,252.5,-9.6,-3.4,10.9,-3.3749443181971888,-6.546418018840723,-2.1999957483421806
4.0,8.26474,4.75951,252.9,-8.5,-2.9,11.3,-3.538918253652718,-6.797585130615314,-2.5999953966998746
4.099999999999994,8.55957,4.27995,253.6,-10.6,-3.6,11.8,-3.6702648393891755,-7.062370432586809,-3.099995033550748
4.200000000000017,8.83335,3.73965,254.3,-15.6,-4.5,12.2,-3.788535441706351,-7.310320532495971,-3.4999946867148046
4.300000000000011,9.11181,3.22943,254.5,-16.3,-3.8,12.5,-3.899607732788682,-7.567665879001119,-3.7999943187816845
4.400000000000006,9.41517,2.75865,254.5,-15.3,-3.4,12.7,-4.037219081177086,-7.838609182140324,-3.9999939049894766
4.5,9.68532,2.51203,254.5,-17.8,-3.7,12.9,-4.134638176650107,-8.093883407848853,-4.199993524731703
4.599999999999994,9.93469,2.52943,254.7,-21.1,-5.1,12.9,-4.223964226889903,-8.32970230495,-4.199993163057222
4.700000000000017,10.19,2.69702,254.8,-21.0,-5.1,12.9,-4.317976418936528,-8.569604105995491,-4.19999278247062
4.800000000000011,10.4367,2.89004,254.8,-19.4,-3.9,12.8,-4.407871272526189,-8.80181919496145,-4.099992403923046
4.900000000000006,10.7124,3.00111,254.7,-19.7,-4.0,12.7,-4.491579191020483,-9.070173186601924,-3.999991969948964
5.0,10.9951,3.11038,254.5,-17.4,-3.7,12.6,-4.576289412280561,-9.345738345136782,-3.8999915117949273
5.099999999999994,11.3135,3.27527,254.6,-15.0,-3.3,12.5,-4.6717324753002485,-9.655685915844842,-3.7999909821600864
5.200000000000017,11.6284,3.51083,254.8,-13.2,-3.8,12.5,-4.724193098565108,-9.98337800422776,-3.799990439229896
5.300000000000011,11.9754,3.82872,255.1,-12.9,-4.7,12.5,-4.8236125727621095,-10.322565632239458,-3.799989823598233
5.400000000000006,12.3191,4.13693,255.3,-13.2,-5.2,12.6,-4.931333445649978,-10.653431093197003,-3.899989197298397
5.5,12.694,4.49362,255.2,-12.3,-5.4,12.8,-5.062546092248299,-11.007317345017949,-4.099988494235628
