time,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
29.282162,23.27718258,3.409274817,-65.02057265,-1.176752314,-1.172567835,13.46204686,34.19719839,-20.24184847,7.901118398
29.290495,23.52034188,3.212228135,-65.07619668,-0.15724574,-1.942175522,11.49741626,28.79845381,-24.79027987,2.897145043
29.298828,23.74741936,3.044723988,-65.07043838,-1.91965681,-2.160988539,7.272574425,26.60865688,-18.58641482,8.187623083
29.307161,23.9583106,2.883712061,-65.10397338,-0.337491661,-0.351843745,11.68770576,24.78469324,-19.73074818,3.742096395
29.315494,24.1308136,2.764185924,-65.08969118,-2.947783739,-2.37232548,10.86017919,20.11003661,-12.84694368,6.891550654
29.323827,24.28951168,2.627319833,-65.10902405,1.106579259,-1.124190785,7.685547114,18.36794353,-16.38796782,4.223794043
29.33216,24.41085673,2.536326682,-65.07993508,-3.711916357,-1.81418781,12.61786294,13.86546636,-8.952033072,7.200278225
29.340493,24.52106095,2.43832705,-65.06638908,0.906751797,-1.136358883,10.22059071,12.37224293,-10.46288014,5.982559055
29.348826,24.60257292,2.365544103,-65.05069733,-3.662931114,-1.43008865,11.0473702,9.141005335,-7.615728707,4.883741527
29.357159,24.65185022,2.288631886,-65.02020645,2.614006802,-1.249836907,8.887433767,4.968379022,-7.312461615,6.787165833
29.365492,24.67172718,2.21693049,-65.0170021,-4.279863238,-2.303135008,9.796504378,1.776469409,-8.112611889,3.493157281
29.373825,24.68369436,2.163025916,-64.9719181,2.60165596,-0.14330456,9.158142806,0.453724697,-4.05714488,7.22240226
29.382158,24.69782591,2.116229139,-64.98297693,-5.50411886,-1.344917588,12.13281679,1.141543269,-6.088049681,0.750087381
29.390491,24.6841507,2.072842188,-64.9176388,3.375294637,-1.192346171,11.81522703,-2.636623859,-1.913002499,8.887973487
29.398824,24.66290665,2.060050227,-64.9370575,-5.163195849,-0.68715515,10.15587687,-3.060843676,-2.831615508,-1.933634937
29.407157,24.63200331,2.02251485,-64.8590679,3.976423517,-0.226495311,10.80167246,-4.723278224,-0.665608436,9.940155385
29.41549,24.61902332,2.045544848,-64.88256648,-5.641873181,-1.052416042,10.40901637,-2.11133343,0.849060656,-4.237241268
29.423823,24.59335232,2.024856754,-64.7840462,2.933525399,-1.066171736,9.812321544,-4.088826716,2.201623932,11.36403906
29.432156,24.58096647,2.07073338,-64.81196788,-5.423794389,0.032600071,9.254135013,-2.060873456,3.129429102,-5.838327051
29.440489,24.57899428,2.065431632,-64.71247483,2.071000546,-0.872831464,8.861597181,-1.248133823,3.899431381,10.6381638
29.448822,24.59240198,2.135603212,-64.72770503,-3.766821325,-0.628902525,10.71626425,0.940526009,6.417458847,-5.638785957
29.457155,24.6080637,2.152292386,-64.63897708,0.686975837,0.139341492,11.71290851,0.948767394,5.770266771,8.36223823
29.465488,24.6148367,2.244917423,-64.63485528,-1.522945292,-0.451191112,10.53863716,0.041866552,9.826301695,-4.632576109
29.473821,24.63056755,2.305969941,-64.55289653,-1.162289895,-0.768636587,13.09742022,1.000629783,10.3289867,5.496063709
29.482154,24.63600588,2.423893064,-64.50761795,-1.185428679,-0.032618707,9.734601378,-0.283322483,14.63734102,-1.420025229
29.490487,24.65192556,2.503690422,-64.45425225,-1.948936939,-2.107416593,8.829687835,1.140524984,10.91829407,1.380578686
29.49882,24.69727039,2.643486261,-64.37664985,-0.642555222,-0.98104211,9.082163811,4.303007662,18.64526272,1.001100243
